Tipo atencion AHEO;Ano Mes Aporte/Ocurrencia;Suma de Cantidad de Atenciones;Suma de Cantidad de Atendidos
AMBULATORIO;200509;1;1
AMBULATORIO;200608;1;1
AMBULATORIO;200704;1;1
AMBULATORIO;200709;2;2
AMBULATORIO;200801;1;1
AMBULATORIO;200803;1;1
AMBULATORIO;200812;1;1
AMBULATORIO;200901;1;1
AMBULATORIO;200903;2;2
AMBULATORIO;200904;4;4
AMBULATORIO;200905;1;1
AMBULATORIO;200908;8;6
AMBULATORIO;200910;3;3
AMBULATORIO;200912;1;1
AMBULATORIO;201002;2;2
AMBULATORIO;201003;6;6
AMBULATORIO;201004;3;3
AMBULATORIO;201005;3;3
AMBULATORIO;201006;5;5
AMBULATORIO;201007;6;6
AMBULATORIO;201008;1;1
AMBULATORIO;201009;6;6
AMBULATORIO;201010;13;13
AMBULATORIO;201011;7;7
AMBULATORIO;201012;4;2
AMBULATORIO;201101;2;2
AMBULATORIO;201102;4;3
AMBULATORIO;201103;7;7
AMBULATORIO;201104;3;1
AMBULATORIO;201106;2;2
AMBULATORIO;201107;6;6
AMBULATORIO;201108;2;2
AMBULATORIO;201109;5;4
AMBULATORIO;201110;4;4
AMBULATORIO;201111;2;2
AMBULATORIO;201112;3;3
AMBULATORIO;201201;3;3
AMBULATORIO;201202;4;4
AMBULATORIO;201203;4;4
AMBULATORIO;201204;9;9
AMBULATORIO;201205;3;3
AMBULATORIO;201206;7;7
AMBULATORIO;201207;7;7
AMBULATORIO;201208;6;5
AMBULATORIO;201209;22;19
AMBULATORIO;201210;8;8
AMBULATORIO;201211;10;10
AMBULATORIO;201212;11;10
AMBULATORIO;201301;13;13
AMBULATORIO;201302;7;7
AMBULATORIO;201303;11;11
AMBULATORIO;201304;17;17
AMBULATORIO;201305;18;18
AMBULATORIO;201306;18;17
AMBULATORIO;201307;18;18
AMBULATORIO;201308;18;18
AMBULATORIO;201309;21;19
AMBULATORIO;201310;43;40
AMBULATORIO;201311;72;71
AMBULATORIO;201312;220;217
AMBULATORIO;201401;411;390
AMBULATORIO;201402;309;287
AMBULATORIO;201403;285;253
AMBULATORIO;201404;452;409
AMBULATORIO;201405;802;687
AMBULATORIO;201406;3150;2439
AMBULATORIO;201407;2656;2269
AMBULATORIO;201408;5795;4817
AMBULATORIO;201409;11710;9648
AMBULATORIO;201410;43639;28600
AMBULATORIO;201411;98434;72140
AMBULATORIO;201412;162991;122230
AMBULATORIO;201501;177760;130919
AMBULATORIO;201502;165350;123860
AMBULATORIO;201503;192872;140708
AMBULATORIO;201504;184952;136175
AMBULATORIO;201505;186776;138990
AMBULATORIO;201506;192493;141986
AMBULATORIO;201507;191809;142050
AMBULATORIO;201508;192303;141793
AMBULATORIO;201509;191125;140234
AMBULATORIO;201510;184027;135826
AMBULATORIO;201511;187323;138012
AMBULATORIO;201512;167115;125210
AMBULATORIO;201601;176231;130545
AMBULATORIO;201602;176991;132650
AMBULATORIO;201603;189260;139375
AMBULATORIO;201604;191069;139880
AMBULATORIO;201605;195954;143413
AMBULATORIO;201606;189383;139805
AMBULATORIO;201607;185208;137927
AMBULATORIO;201608;206548;150611
AMBULATORIO;201609;208330;151071
AMBULATORIO;201610;197071;145297
AMBULATORIO;201611;188171;138800
AMBULATORIO;201612;179559;132837
AMBULATORIO;201701;187005;136405
AMBULATORIO;201702;169727;126276
AMBULATORIO;201703;188843;136852
AMBULATORIO;201704;170517;126254
AMBULATORIO;201705;191429;139433
AMBULATORIO;201706;185960;136377
AMBULATORIO;201707;188099;140081
AMBULATORIO;201708;199857;146003
AMBULATORIO;201709;192309;141888
AMBULATORIO;201710;199261;146287
AMBULATORIO;201711;194344;143307
AMBULATORIO;201712;175456;131383
AMBULATORIO;201801;193920;141437
AMBULATORIO;201802;177734;132492
AMBULATORIO;201803;192885;142695
AMBULATORIO;201804;198654;145776
AMBULATORIO;201805;211418;154614
AMBULATORIO;201806;199930;147835
